TNM,freq
"T2,N2b,M0",0.002455056440748827
"T3b,N1,M0",0.002313373902540995
"T1a,NX,M0",0.002257629953082176
"T1mic,N0,M0",0.0022204673201096296
"T1,N1,M0",0.002187950016258652
"T3,N0,M1a",0.0021089794211919914
"T3,N1NOS,M0",0.0021089794211919914
"T1c,NX,M0",0.002104334092070423
"T3NOS,N0,M0",0.002099688762948855
"T1b,N1,M0",0.002032331490686115
"T2a,N1,M0",0.0020230408324429785
"T1b1,N0,M0",0.0020091048450782737
"T3,N2,M1a",0.0019556835601802387
"T2(m),N0,M0",0.0019278115854508293
"T3a,N1,M0",0.0019278115854508293
"T3a,N0,M1",0.0019022622752822038
"T1b,N1a,M0",0.001890648952478283
"T2a,N0,M1b",0.0018441956612626005
"T3(m),N0,M0",0.001800065034607702
"T2NOS,N0,M1b",0.001762902401635156
"T2b,N2,M1b",0.0017350304269057462
"T2,N3a,M0",0.0016885771356900637
"T1b,N2,M0",0.0016723184837645747
"T2b,N1,M0",0.0016723184837645747
"T3,N3,M0",0.0016699958192037906
"T2b,N2,M0",0.0016398011799135968
"T3c,N1,M0",0.001588702559576346
"T4,N0,M1a",0.001556185255725368
"T1a1,N0,M0",0.0015213452873136062
"T1c,N0(i+),M0",0.0014981186417057648
"T2,N0(i+),M0",0.0014725693315371395
"T1c,N2a,M0",0.0014516653504900823
"T1a,N2,M0",0.0014446973568077298
"T1,NX,M0",0.0014354066985645933
"T4,N1,M1b",0.0014214707111998885
"T1c,N1,M0",0.0014098573883959678
"T1,N2b,M0",0.0013912760719096949
"T4,N3,M0",0.0013169508059646027
"T1a,N1,M0",0.0013030148185998978
"T2b,N0,M1",0.0012495935337018629
"T1mic,N0(i-),M0",0.0012449482045802946
"T3,N3a,M0",0.0012217215589724532
"T4,N3,M1a",0.0012217215589724532
"T2a,N3,M1b",0.0012077855716077484
"T1,N0,M1",0.0011381056347842245
"T1b,N2,M1b",0.0011381056347842245
"T3,NX,M0",0.0011079109954940307
"T3a,N1,M1",0.001093975008129326
"T3(m),N1b,M0",0.0010661030333999164
"T3(m),N1a,M0",0.001042876387792075
"T3,N1,M1b",0.001021972406745018
"T3b,N0,M1",0.0010150044130626656
"T3,NX,M1",9.941004320156083e-4
"T3c,N0,M1",9.8945510289404e-4
"T2,N2,M0",9.755191155293352e-4
"T1c,N0,M1b",9.70873786407767e-4
"T1NOS,N0,M1",9.546151344822781e-4
"T1a,N2,M1b",9.453244762391415e-4
"T2,N1NOS,M0",9.430018116783574e-4
"T2NOS,N2,M1b",9.267431597528685e-4
"T2,NX,M0",9.197751660705161e-4
"T3,N2c,M0",9.197751660705161e-4
"T1b,N1mi,M0",9.058391787058113e-4
"T3NOS,N0,M1",8.663538811724811e-4
"T3,N0(i-),M0",8.570632229293445e-4
"T1b(s),N1a,M0",8.500952292469922e-4
"T2a,N2,M1a",8.477725646862081e-4
"T1NOS,N1,M1",8.384819064430715e-4
"T1NOS,NX,M0",8.384819064430715e-4
"T4,NX,M0",8.315139127607191e-4
"T1b,N0,M1b",8.222232545175825e-4
"T2b,N0,M1b",8.175779253960143e-4
"T1b,NX,M0",8.129325962744461e-4
"T2,N2c,M0",8.059646025920937e-4
"T2,N1b,M0",8.036419380313095e-4
"T2a,N3,M0",8.036419380313095e-4
"T3,N2b,M1a",7.94351279788173e-4
"T1,N1a,M0",7.757699633019e-4
"T3(s),N1a,M0",7.734472987411159e-4
"T3,N1b,M1a",7.664793050587634e-4
"T3c,N1,M1",7.641566404979793e-4
"T2a,N0,M1a",7.618339759371952e-4
"T4,NX,M1b",7.618339759371952e-4
"T1b(m),N1a,M0",7.548659822548427e-4
"T3,N3,M1a",7.502206531332745e-4
"T3,N1c,M0",7.455753240117062e-4
"T1,N0,M1a",0.00073628466576856975
"T1b,N0,M1",0.00073628466576856975
"T2a,N1,M1b",7.339620012077856e-4
"T4,NX,M1",7.339620012077856e-4
"T1,N2a,M0",7.223486784038649e-4
"T2,NX,M1",7.223486784038649e-4
"T3b,N1,M1",7.177033492822966e-4
"T2b,N1,M1",7.130580201607284e-4
"T1a,N0,M1",7.06090026478376e-4
"T3,N2a,M1a",6.782180517489664e-4
"T3,NX,M1b",6.619593998234775e-4
"T1,N0,M1b",6.387327542156362e-4
"T1a,N0,M1b",6.387327542156362e-4
"T2NOS,N2,M0",6.317647605332837e-4
"T3(s),N1b,M0",6.131834440470108e-4
"T3NOS,N1,M0",5.946021275607376e-4
"T2a,N0,M1",5.829888047568171e-4
"T2b,N3,M1b",5.760208110744646e-4
"T1b,N3,M1b",5.527941654666233e-4
"T2a,NX,M0",5.504715009058391e-4
"T1b2,N0,M0",5.435035072234868e-4
"T2NOS,N2,M1a",5.388581781019185e-4
"T2(s),N1a,M0",5.365355135411344e-4
"T1b,N0(i+),M0",5.318901844195661e-4
"T2NOS,N1,M0",5.272448552979979e-4
"T3a,N2,M0",5.272448552979979e-4
"T3,N2,M1",5.063408742509407e-4
"T1NOS,N1,M0",5.040182096901566e-4
"T2(m),N1a,M0",5.040182096901566e-4
"T3,N1a,M1a",4.970502160078042e-4
"T3NOS,N1,M1",4.877595577646676e-4
"T1a(m),N1a,M0",4.8311422864309934e-4
"T3,N1mi,M0",4.76146234960747e-4
"T2c,N1,M0",4.715009058391787e-4
"T2a,N1a,M0",4.6917824127839456e-4
"T1,N2,M0",4.668555767176104e-4
"T3,N2b,M1b",4.668555767176104e-4
"T2NOS,NX,M1b",4.645329121568263e-4
"T4,N1,M1a",4.645329121568263e-4
"T1a,N3,M1b",4.622102475960422e-4
"T1c,N1NOS,M0",4.5988758303525806e-4
"T2,N2NOS,M0",4.575649184744739e-4
"T3a,NX,M0",4.5291958935290565e-4
"T1a(s),N1a,M0",4.505969247921215e-4
"T2,N3,M0",4.4827426023133737e-4
"T2NOS,N1,M1b",4.4595159567055323e-4
"T3,N1NOS,M1b",4.4595159567055323e-4
"T0,N0,M1",4.4362893110976915e-4
